,franchise,lat,lng
0,Dallas Mavericks,32.790556,-96.810278
1,Orlando Magic,28.539167,-81.383611
2,San Antonio Spurs,29.426944,-98.4375
3,Denver Nuggets,39.74892,-105.0084
4,Brooklyn Nets,40.682661,-73.975225
5,Washington Wizards,38.8982,-77.0209
6,Golden State Warriors,37.768056,-122.3875
7,Los Angeles Clippers,34.043056,-118.267222
8,Los Angeles Lakers,34.043056,-118.267222
9,Memphis Grizzlies,35.138333,-90.050556
10,Milwaukee Bucks,43.045028,-87.918167
11,Phoenix Suns,33.445833,-112.071389
12,Miami Heat,25.781389,-80.188056
13,Indiana Pacers,39.763889,-86.155556
14,Sacremento Kings,38.580361,-121.499611
15,Detroit Pistons,42.341111,-83.055
16,New York Knicks,40.750556,-73.993611
17,Portland Trail Blazers,45.531667,-122.666667
18,Oklahoma City Thunder,35.463333,-97.515
19,Cleveland Cavaliers,41.496389,-81.688056
20,Toronto Raptors,43.643333,-79.379167
21,New Orleans Pelicans,29.948889,-90.081944
22,Charlotte Hornets,35.225,-80.839167
23,Atlanta Hawks,33.757222,-84.396389
24,Minnesota Timberwolves,44.9795,-93.2761
25,Boston Celtics,42.366303,-71.062228
26,Houston Rockets,29.750833,-95.362222
27,Chicago Bulls,41.880556,-87.674167
28,Utah Jazz,40.768333,-111.901111
29,Philadelphia 76ers,39.901111,-75.171944
