home_city,home_name,away_city,away_name,home_score,away_score,winner_name
Golden State,Warriors,Oklahoma City,Thunder,112.0,124.0,Thunder
Boston,Celtics,New York,Knicks,123.0,117.0,Celtics
San Antonio,Spurs,Memphis,Grizzlies,126.0,119.0,Spurs
New Orleans,Pelicans,Minnesota,Timberwolves,142.0,149.0,Timberwolves
Toronto,Raptors,Portland,Trail Blazers,121.0,118.0,Raptors
Philadelphia,76ers,Washington,Wizards,121.0,102.0,76ers
Los Angeles,Lakers,Phoenix,Suns,108.0,125.0,Suns
Denver,Nuggets,Dallas,Mavericks,121.0,131.0,Mavericks
Utah,Jazz,Houston,Rockets,133.0,125.0,Jazz
Miami,Heat,LA,Clippers,140.0,123.0,Heat
Orlando,Magic,Chicago,Bulls,125.0,120.0,Magic
Brooklyn,Nets,Charlotte,Hornets,116.0,103.0,Nets
Detroit,Pistons,Atlanta,Hawks,99.0,98.0,Pistons
Indiana,Pacers,Cleveland,Cavaliers,119.0,135.0,Cavaliers
Washington,Wizards,Milwaukee,Bucks,129.0,126.0,Wizards
Los Angeles,Lakers,New Orleans,Pelicans,133.0,121.0,Lakers
Sacramento,Kings,Memphis,Grizzlies,107.0,115.0,Grizzlies
Minnesota,Timberwolves,San Antonio,Spurs,125.0,112.0,Timberwolves
Cleveland,Cavaliers,Boston,Celtics,115.0,117.0,Celtics
New York,Knicks,Toronto,Raptors,116.0,94.0,Knicks
Portland,Trail Blazers,Oklahoma City,Thunder,115.0,123.0,Thunder
Philadelphia,76ers,Atlanta,Hawks,134.0,142.0,Hawks
Utah,Jazz,Houston,Rockets,101.0,129.0,Rockets
LA,Clippers,Dallas,Mavericks,110.0,114.0,Mavericks
Phoenix,Suns,Denver,Nuggets,112.0,130.0,Nuggets
Golden State,Warriors,New Orleans,Pelicans,104.0,96.0,Warriors
Miami,Heat,Detroit,Pistons,135.0,138.0,Pistons
Milwaukee,Bucks,Brooklyn,Nets,116.0,99.0,Bucks
Indiana,Pacers,Chicago,Bulls,103.0,101.0,Pacers
Charlotte,Hornets,Toronto,Raptors,118.0,111.0,Hornets
Minnesota,Timberwolves,Boston,Celtics,119.0,115.0,Timberwolves
LA,Clippers,Memphis,Grizzlies,107.0,112.0,Grizzlies
Los Angeles,Lakers,Dallas,Mavericks,129.0,119.0,Lakers
Utah,Jazz,Sacramento,Kings,128.0,119.0,Jazz
Denver,Nuggets,San Antonio,Spurs,136.0,139.0,Spurs
Oklahoma City,Thunder,Phoenix,Suns,123.0,119.0,Thunder
Atlanta,Hawks,Cleveland,Cavaliers,130.0,123.0,Hawks
Charlotte,Hornets,Chicago,Bulls,123.0,116.0,Hornets
