,year,west_champion,east_champion,result,champion,mvp,mvp_team
0,1950,Minneapolis Lakers,Syracuse Nationals,4–2,Minneapolis Lakers,,
1,1951,Rochester Royals,New York Knicks,4–3,Rochester Royals,,
2,1952,Minneapolis Lakers,New York Knicks,4–3,Minneapolis Lakers,,
3,1953,Minneapolis Lakers,New York Knicks,4–1,Minneapolis Lakers,,
4,1954,Minneapolis Lakers,Syracuse Nationals,4–3,Minneapolis Lakers,,
5,1955,Fort Wayne Pistons,Syracuse Nationals,3–4,Syracuse Nationals,,
6,1956,Fort Wayne Pistons,Philadelphia Warriors,1–4,Philadelphia Warriors,B. Pettit,Saint Louis Hawks
7,1957,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,B. Cousy,Boston Celtics
8,1958,St. Louis Hawks,Boston Celtics,4–2,St. Louis Hawks,B. Russell,Boston Celtics
9,1959,Minneapolis Lakers,Boston Celtics,0–4,Boston Celtics,B. Pettit,Saint Louis Hawks
10,1960,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,W. Chamberlain,Philadelphia Warriors
11,1961,St. Louis Hawks,Boston Celtics,1–4,Boston Celtics,B. Russell,Boston Celtics
12,1962,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,B. Russell,Boston Celtics
13,1963,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,B. Russell,Boston Celtics
14,1964,San Francisco Warriors,Boston Celtics,1–4,Boston Celtics,O. Robertson,Cincinnati Royals
15,1965,Los Angeles Lakers,Boston Celtics,1–4,Boston Celtics,B. Russell,Boston Celtics
16,1966,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,W. Chamberlain,Philadelphia 76ers
17,1967,San Francisco Warriors,Philadelphia 76ers,2–4,Philadelphia 76ers,W. Chamberlain,Philadelphia 76ers
18,1968,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,W. Chamberlain,Philadelphia 76ers
19,1969,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,W. Unseld,Baltimore Bullets
20,1970,Los Angeles Lakers,New York Knicks,3–4,New York Knicks,W. Reed,New York Knicks
