city,density,lat,lng
New York,10943.7,40.6943,-73.9249
Los Angeles,3165.7,34.1141,-118.4068
Chicago,4590.3,41.8375,-87.6866
Miami,4791.1,25.784,-80.2101
Houston,1386.2,29.786,-95.3885
Dallas,1477.1,32.7935,-96.7667
Philadelphia,4548.5,40.0077,-75.1339
Atlanta,1424.8,33.7628,-84.422
Washington,4245.2,38.9047,-77.0163
Boston,5303.2,42.3188,-71.0852
Phoenix,1210.3,33.5722,-112.0892
Detroit,1771.8,42.3834,-83.1024
Seattle,3408.0,47.6211,-122.3244
San Francisco,6916.7,37.7558,-122.4449
San Diego,1640.0,32.8313,-117.1222
Minneapolis,3052.0,44.9635,-93.2678
Tampa,1326.7,27.9945,-82.4447
Brooklyn,15200.5,40.6501,-73.9496
Denver,1800.3,39.762,-104.8758
Queens,8503.7,40.7498,-73.7976
Riverside,1504.7,33.9381,-117.3949
Las Vegas,1771.4,36.2333,-115.2654
Baltimore,2753.1,39.3051,-76.6144
St. Louis,1833.6,38.6359,-90.2451
Portland,1858.9,45.5371,-122.65
San Antonio,1129.0,29.4632,-98.5238
Sacramento,2054.1,38.5677,-121.4685
Austin,1144.9,30.3005,-97.7522
Orlando,1083.2,28.4773,-81.337
San Juan,3110.1,18.3985,-66.061
San Jose,2148.3,37.3012,-121.848
Indianapolis,943.3,39.7771,-86.1458
Pittsburgh,2117.1,40.4397,-79.9763
Cincinnati,1534.2,39.1413,-84.506
Manhattan,28653.9,40.7834,-73.9662
Kansas City,623.9,39.1238,-94.5541
Cleveland,1825.4,41.4764,-81.6805
Columbus,1579.9,39.9862,-82.9855
Bronx,13356.3,40.8501,-73.8662
Charlotte,1098.2,35.2083,-80.8303
Virginia Beach,721.1,36.7335,-76.0435
Jacksonville,496.9,30.3322,-81.6749
Milwaukee,2287.4,43.0642,-87.9675
Providence,3990.1,41.823,-71.4187
Nashville,555.6,36.1715,-86.7842
Salt Lake City,709.9,40.7776,-111.9311
Raleigh,1204.2,35.8324,-78.6429
Richmond,1466.4,37.5295,-77.4756
Memphis,838.2,35.1087,-89.9663
Oklahoma City,438.4,35.4676,-97.5136
Hartford,2665.3,41.7661,-72.6834
Louisville,920.7,38.1663,-85.6485
Buffalo,2642.9,42.9018,-78.8487
Fort Worth,1032.7,32.7817,-97.3474
Bridgeport,3557.4,41.1918,-73.1954
New Orleans,856.6,30.0687,-89.9288
Tucson,866.2,32.1541,-110.8787
El Paso,1011.6,31.8476,-106.43
Omaha,1318.9,41.2627,-96.0529
Mcallen,890.1,26.2252,-98.2467
Birmingham,523.3,33.5279,-86.7971
Albuquerque,1159.7,35.1054,-106.6465
Tulsa,805.1,36.1283,-95.9042
Charleston,509.3,32.8168,-79.9687
Fresno,1810.8,36.783,-119.7939
Rochester,2264.3,43.168,-77.6162
Dayton,946.0,39.7805,-84.2003
Cape Coral,750.0,26.6443,-81.9957
Provo,1053.7,40.2457,-111.6457
Colorado Springs,923.0,38.8674,-104.7605
Mission Viejo,2020.5,33.6096,-117.6551
Allentown,2754.8,40.5961,-75.4756
Baton Rouge,993.4,30.442,-91.1311
Ogden,1219.7,41.2279,-111.9682
Knoxville,757.6,35.9692,-83.9496
Grand Rapids,1705.4,42.9619,-85.6562
Columbia,384.8,34.0378,-80.9036
Albany,1805.4,42.6664,-73.7987
Bakersfield,1049.2,35.3529,-119.0359
New Haven,2745.3,41.3113,-72.9246
Des Moines,930.5,41.5725,-93.6105
