franchise,lat,lng
Dallas Mavericks,32.790556,-96.810278
Orlando Magic,28.539167,-81.383611
San Antonio Spurs,29.426944,-98.4375
Denver Nuggets,39.74892,-105.0084
Brooklyn Nets,40.682661,-73.975225
Washington Wizards,38.8982,-77.0209
Golden State Warriors,37.768056,-122.3875
Los Angeles Clippers,34.043056,-118.267222
Los Angeles Lakers,34.043056,-118.267222
Memphis Grizzlies,35.138333,-90.050556
Milwaukee Bucks,43.045028,-87.918167
Phoenix Suns,33.445833,-112.071389
Miami Heat,25.781389,-80.188056
Indiana Pacers,39.763889,-86.155556
Sacremento Kings,38.580361,-121.499611
Detroit Pistons,42.341111,-83.055
New York Knicks,40.750556,-73.993611
Portland Trail Blazers,45.531667,-122.666667
Oklahoma City Thunder,35.463333,-97.515
Cleveland Cavaliers,41.496389,-81.688056
Toronto Raptors,43.643333,-79.379167
New Orleans Pelicans,29.948889,-90.081944
Charlotte Hornets,35.225,-80.839167
Atlanta Hawks,33.757222,-84.396389
Minnesota Timberwolves,44.9795,-93.2761
Boston Celtics,42.366303,-71.062228
Houston Rockets,29.750833,-95.362222
Chicago Bulls,41.880556,-87.674167
Utah Jazz,40.768333,-111.901111
Philadelphia 76ers,39.901111,-75.171944
