year,home_city,home_name,away_city,away_name,home_score,away_score,winner_name
2026,,,,,0,0,
2026,,,,,0,0,
2026,,,,,0,0,
2026,,,,,0,0,
2026,,,,,0,0,
2026,,,,,0,0,
2026,,,,,0,0,
2026,,,,,0,0,
2026,,,,,0,0,
2026,,,,,0,0,
2026,Oklahoma City,Thunder,Phoenix,Suns,0,0,Suns
2026,Los Angeles,Lakers,Utah,Jazz,0,0,Jazz
2026,LA,Clippers,Golden State,Warriors,0,0,Warriors
2026,Minnesota,Timberwolves,New Orleans,Pelicans,0,0,Pelicans
2026,Dallas,Mavericks,Chicago,Bulls,0,0,Bulls
2026,San Antonio,Spurs,Denver,Nuggets,0,0,Nuggets
2026,Houston,Rockets,Memphis,Grizzlies,0,0,Grizzlies
2026,Portland,Trail Blazers,Sacramento,Kings,0,0,Kings
2026,Indiana,Pacers,Detroit,Pistons,0,0,Pistons
2026,Toronto,Raptors,Brooklyn,Nets,0,0,Nets
2026,Boston,Celtics,Orlando,Magic,0,0,Magic
2026,Cleveland,Cavaliers,Washington,Wizards,0,0,Wizards
2026,Miami,Heat,Atlanta,Hawks,0,0,Hawks
2026,New York,Knicks,Charlotte,Hornets,0,0,Hornets
2026,Philadelphia,76ers,Milwaukee,Bucks,0,0,Bucks
2026,Los Angeles,Lakers,Phoenix,Suns,0,0,Suns
2026,Sacramento,Kings,Golden State,Warriors,0,0,Warriors
2026,Portland,Trail Blazers,LA,Clippers,0,0,Clippers
2026,Utah,Jazz,Memphis,Grizzlies,0,0,Grizzlies
2026,Houston,Rockets,Minnesota,Timberwolves,0,0,Timberwolves
2026,Denver,Nuggets,Oklahoma City,Thunder,0,0,Thunder
2026,Chicago,Bulls,Orlando,Magic,0,0,Magic
2026,Milwaukee,Bucks,Brooklyn,Nets,0,0,Nets
2026,San Antonio,Spurs,Dallas,Mavericks,0,0,Mavericks
2026,Indiana,Pacers,Philadelphia,76ers,0,0,76ers
2026,Boston,Celtics,New Orleans,Pelicans,0,0,Pelicans
2026,New York,Knicks,Toronto,Raptors,0,0,Raptors
2026,Atlanta,Hawks,Cleveland,Cavaliers,0,0,Cavaliers
2026,Charlotte,Hornets,Detroit,Pistons,0,0,Pistons
2026,Washington,Wizards,Miami,Heat,0,0,Heat
2026,Golden State,Warriors,Los Angeles,Lakers,0,0,Lakers
2026,Houston,Rockets,Philadelphia,76ers,0,0,76ers
2026,New York,Knicks,Boston,Celtics,0,0,Celtics
2026,Brooklyn,Nets,Indiana,Pacers,0,0,Pacers
2026,Washington,Wizards,Chicago,Bulls,0,0,Bulls
2026,Toronto,Raptors,Miami,Heat,0,0,Heat
2026,Phoenix,Suns,Dallas,Mavericks,0,0,Mavericks
2026,LA,Clippers,Oklahoma City,Thunder,0,0,Thunder
2026,Denver,Nuggets,Memphis,Grizzlies,0,0,Grizzlies
2026,San Antonio,Spurs,Portland,Trail Blazers,0,0,Trail Blazers
2026,Detroit,Pistons,Milwaukee,Bucks,0,0,Bucks
2026,Orlando,Magic,Minnesota,Timberwolves,0,0,Timberwolves
2026,Cleveland,Cavaliers,Atlanta,Hawks,0,0,Hawks
2026,Phoenix,Suns,Houston,Rockets,0,0,Rockets
2026,Los Angeles,Lakers,Oklahoma City,Thunder,0,0,Thunder
2026,LA,Clippers,Dallas,Mavericks,0,0,Mavericks
2026,Golden State,Warriors,Sacramento,Kings,0,0,Kings
2026,New Orleans,Pelicans,Utah,Jazz,0,0,Jazz
2026,Indiana,Pacers,Minnesota,Timberwolves,0,0,Timberwolves
2026,Toronto,Raptors,Miami,Heat,0,0,Heat
2026,Boston,Celtics,Charlotte,Hornets,0,0,Hornets
2026,Brooklyn,Nets,Milwaukee,Bucks,0,0,Bucks
2026,Washington,Wizards,Chicago,Bulls,0,0,Bulls
2026,Denver,Nuggets,Portland,Trail Blazers,0,0,Trail Blazers
2026,San Antonio,Spurs,Philadelphia,76ers,0,0,76ers
2026,Memphis,Grizzlies,Cleveland,Cavaliers,0,0,Cavaliers
2026,Orlando,Magic,Detroit,Pistons,0,0,Pistons
2026,Atlanta,Hawks,New York,Knicks,0,0,Knicks
2026,Golden State,Warriors,Houston,Rockets,0,0,Rockets
2026,Sacramento,Kings,LA,Clippers,0,0,Clippers
2026,Dallas,Mavericks,Los Angeles,Lakers,0,0,Lakers
2026,New Orleans,Pelicans,Orlando,Magic,0,0,Magic
2026,Minnesota,Timberwolves,Charlotte,Hornets,0,0,Hornets
2026,Oklahoma City,Thunder,Utah,Jazz,0,0,Jazz
2026,Cleveland,Cavaliers,Indiana,Pacers,0,0,Pacers
2026,Chicago,Bulls,Phoenix,Suns,0,0,Suns
2026,Boston,Celtics,Toronto,Raptors,0,0,Raptors
2026,Milwaukee,Bucks,Memphis,Grizzlies,0,0,Grizzlies
2026,Brooklyn,Nets,Washington,Wizards,0,0,Wizards
2026,Philadelphia,76ers,Detroit,Pistons,0,0,Pistons
2026,Denver,Nuggets,San Antonio,Spurs,0,0,Spurs
2026,Miami,Heat,Washington,Wizards,0,0,Wizards
2026,Sacramento,Kings,New Orleans,Pelicans,0,0,Pelicans
2026,Dallas,Mavericks,Orlando,Magic,0,0,Magic
2026,Memphis,Grizzlies,Toronto,Raptors,0,0,Raptors
2026,Houston,Rockets,Utah,Jazz,0,0,Jazz
2026,Milwaukee,Bucks,Boston,Celtics,0,0,Celtics
2026,Brooklyn,Nets,Atlanta,Hawks,0,0,Hawks
2026,New York,Knicks,Chicago,Bulls,0,0,Bulls
2026,Charlotte,Hornets,Indiana,Pacers,0,0,Pacers
2026,Philadelphia,76ers,Minnesota,Timberwolves,0,0,Timberwolves
2026,LA,Clippers,San Antonio,Spurs,0,0,Spurs
2026,Portland,Trail Blazers,New Orleans,Pelicans,0,0,Pelicans
2026,Golden State,Warriors,Cleveland,Cavaliers,0,0,Cavaliers
2026,Oklahoma City,Thunder,Los Angeles,Lakers,0,0,Lakers
2026,Detroit,Pistons,Minnesota,Timberwolves,0,0,Timberwolves
2026,Charlotte,Hornets,Phoenix,Suns,0,0,Suns
2026,Golden State,Warriors,San Antonio,Spurs,0,0,Spurs
2026,Utah,Jazz,Denver,Nuggets,0,0,Nuggets
2026,Toronto,Raptors,Sacramento,Kings,0,0,Kings
2026,Chicago,Bulls,Indiana,Pacers,0,0,Pacers
2026,Memphis,Grizzlies,New York,Knicks,0,0,Knicks
2026,Houston,Rockets,Milwaukee,Bucks,0,0,Bucks
2026,Orlando,Magic,Atlanta,Hawks,0,0,Hawks
2026,Miami,Heat,Boston,Celtics,0,0,Celtics
2026,Washington,Wizards,Philadelphia,76ers,0,0,76ers
2026,LA,Clippers,Portland,Trail Blazers,0,0,Trail Blazers
2026,Los Angeles,Lakers,Cleveland,Cavaliers,0,0,Cavaliers
2026,Houston,Rockets,New York,Knicks,0,0,Knicks
2026,Detroit,Pistons,Toronto,Raptors,0,0,Raptors
2026,Milwaukee,Bucks,Dallas,Mavericks,0,0,Mavericks
2026,Brooklyn,Nets,Charlotte,Hornets,0,0,Hornets
2026,Orlando,Magic,Phoenix,Suns,0,0,Suns
2026,Los Angeles,Lakers,Washington,Wizards,0,0,Wizards
2026,Oklahoma City,Thunder,Detroit,Pistons,0,0,Pistons
2026,Utah,Jazz,Cleveland,Cavaliers,0,0,Cavaliers
2026,Dallas,Mavericks,Minnesota,Timberwolves,0,0,Timberwolves
2026,Memphis,Grizzlies,Phoenix,Suns,0,0,Suns
2026,San Antonio,Spurs,Chicago,Bulls,0,0,Bulls
2026,Atlanta,Hawks,Boston,Celtics,0,0,Celtics
2026,Miami,Heat,Philadelphia,76ers,0,0,76ers
2026,Denver,Nuggets,Golden State,Warriors,0,0,Warriors
2026,Oklahoma City,Thunder,New York,Knicks,0,0,Knicks
2026,New Orleans,Pelicans,Houston,Rockets,0,0,Rockets
2026,Brooklyn,Nets,Sacramento,Kings,0,0,Kings
2026,Charlotte,Hornets,Boston,Celtics,0,0,Celtics
2026,Toronto,Raptors,Orlando,Magic,0,0,Magic
2026,Portland,Trail Blazers,Washington,Wizards,0,0,Wizards
2026,Indiana,Pacers,Miami,Heat,0,0,Heat
2026,Milwaukee,Bucks,LA,Clippers,0,0,Clippers
2026,Phoenix,Suns,Utah,Jazz,0,0,Jazz
2026,Memphis,Grizzlies,Chicago,Bulls,0,0,Bulls
2026,Minnesota,Timberwolves,Detroit,Pistons,0,0,Pistons
2026,Atlanta,Hawks,Sacramento,Kings,0,0,Kings
2026,Charlotte,Hornets,Philadelphia,76ers,0,0,76ers
2026,Milwaukee,Bucks,San Antonio,Spurs,0,0,Spurs
2026,Los Angeles,Lakers,Brooklyn,Nets,0,0,Nets
2026,Golden State,Warriors,Washington,Wizards,0,0,Wizards
2026,Portland,Trail Blazers,Dallas,Mavericks,0,0,Mavericks
2026,Denver,Nuggets,Utah,Jazz,0,0,Jazz
2026,Toronto,Raptors,New Orleans,Pelicans,0,0,Pelicans
2026,Oklahoma City,Thunder,Chicago,Bulls,0,0,Bulls
2026,Memphis,Grizzlies,Houston,Rockets,0,0,Rockets
2026,Cleveland,Cavaliers,Miami,Heat,0,0,Heat
2026,Boston,Celtics,Atlanta,Hawks,0,0,Hawks
2026,Indiana,Pacers,LA,Clippers,0,0,Clippers
2026,Detroit,Pistons,New Orleans,Pelicans,0,0,Pelicans
2026,Charlotte,Hornets,New York,Knicks,0,0,Knicks
2026,Orlando,Magic,Sacramento,Kings,0,0,Kings
2026,LA,Clippers,Toronto,Raptors,0,0,Raptors
2026,Golden State,Warriors,Brooklyn,Nets,0,0,Nets
2026,Denver,Nuggets,Dallas,Mavericks,0,0,Mavericks
2026,Portland,Trail Blazers,Milwaukee,Bucks,0,0,Bucks
2026,Minnesota,Timberwolves,Houston,Rockets,0,0,Rockets
2026,Utah,Jazz,Washington,Wizards,0,0,Wizards
2026,Memphis,Grizzlies,San Antonio,Spurs,0,0,Spurs
2026,Boston,Celtics,Oklahoma City,Thunder,0,0,Thunder
2026,Cleveland,Cavaliers,Miami,Heat,0,0,Heat
2026,Indiana,Pacers,Los Angeles,Lakers,0,0,Lakers
2026,Detroit,Pistons,Atlanta,Hawks,0,0,Hawks
2026,Philadelphia,76ers,Chicago,Bulls,0,0,Bulls
2026,Phoenix,Suns,Denver,Nuggets,0,0,Nuggets
2026,Cleveland,Cavaliers,Orlando,Magic,0,0,Magic
2026,New York,Knicks,New Orleans,Pelicans,0,0,Pelicans
2026,Charlotte,Hornets,Sacramento,Kings,0,0,Kings
2026,LA,Clippers,Milwaukee,Bucks,0,0,Bucks
2026,Portland,Trail Blazers,Brooklyn,Nets,0,0,Nets
2026,Dallas,Mavericks,Golden State,Warriors,0,0,Warriors
2026,Utah,Jazz,Toronto,Raptors,0,0,Raptors
2026,Chicago,Bulls,Houston,Rockets,0,0,Rockets
2026,Miami,Heat,San Antonio,Spurs,0,0,Spurs
2026,Orlando,Magic,Indiana,Pacers,0,0,Pacers
2026,Atlanta,Hawks,Memphis,Grizzlies,0,0,Grizzlies
2026,Detroit,Pistons,Los Angeles,Lakers,0,0,Lakers
2026,Philadelphia,76ers,Oklahoma City,Thunder,0,0,Thunder
2026,Phoenix,Suns,Toronto,Raptors,0,0,Raptors
2026,Boston,Celtics,Minnesota,Timberwolves,0,0,Timberwolves
2026,New York,Knicks,Washington,Wizards,0,0,Wizards
2026,Sacramento,Kings,Brooklyn,Nets,0,0,Nets
2026,Denver,Nuggets,Portland,Trail Blazers,0,0,Trail Blazers
2026,Phoenix,Suns,Milwaukee,Bucks,0,0,Bucks
2026,Utah,Jazz,Philadelphia,76ers,0,0,76ers
2026,Dallas,Mavericks,LA,Clippers,0,0,Clippers
2026,San Antonio,Spurs,Indiana,Pacers,0,0,Pacers
2026,Atlanta,Hawks,Golden State,Warriors,0,0,Warriors
2026,Houston,Rockets,Miami,Heat,0,0,Heat
2026,Charlotte,Hornets,Memphis,Grizzlies,0,0,Grizzlies
2026,Orlando,Magic,Los Angeles,Lakers,0,0,Lakers
